date,state,parlimen,dun,sex,age,ethnicity,population
1/1/2020,Perlis,P.001 Padang Besar,N.05 Santan,both,overall,overall,13.851
1/1/2020,Perlis,P.001 Padang Besar,N.05 Santan,both,overall,citizen,13.636
1/1/2020,Perlis,P.001 Padang Besar,N.05 Santan,both,overall,noncitizen,0.215
1/1/2020,Perlis,P.001 Padang Besar,N.05 Santan,female,overall,overall,6.968
1/1/2020,Perlis,P.001 Padang Besar,N.05 Santan,male,overall,overall,6.883
1/1/2021,Perlis,P.001 Padang Besar,N.05 Santan,both,overall,overall,14
1/1/2021,Perlis,P.001 Padang Besar,N.05 Santan,both,overall,citizen,13.7
1/1/2021,Perlis,P.001 Padang Besar,N.05 Santan,both,overall,noncitizen,0.2
1/1/2021,Perlis,P.001 Padang Besar,N.05 Santan,female,overall,overall,7
1/1/2021,Perlis,P.001 Padang Besar,N.05 Santan,male,overall,overall,6.9
1/1/2022,Perlis,P.001 Padang Besar,N.05 Santan,both,overall,overall,14.1
1/1/2022,Perlis,P.001 Padang Besar,N.05 Santan,both,overall,citizen,13.8
1/1/2022,Perlis,P.001 Padang Besar,N.05 Santan,both,overall,noncitizen,0.3
1/1/2022,Perlis,P.001 Padang Besar,N.05 Santan,female,overall,overall,7.1
1/1/2022,Perlis,P.001 Padang Besar,N.05 Santan,male,overall,overall,7
1/1/2020,Perlis,P.002 Kangar,N.06 Bintong,both,overall,overall,28.003
1/1/2020,Perlis,P.002 Kangar,N.06 Bintong,both,overall,citizen,27.392
1/1/2020,Perlis,P.002 Kangar,N.06 Bintong,both,overall,noncitizen,0.611
1/1/2020,Perlis,P.002 Kangar,N.06 Bintong,female,overall,overall,14.194
1/1/2020,Perlis,P.002 Kangar,N.06 Bintong,male,overall,overall,13.809
1/1/2021,Perlis,P.002 Kangar,N.06 Bintong,both,overall,overall,28.3
1/1/2021,Perlis,P.002 Kangar,N.06 Bintong,both,overall,citizen,27.6
1/1/2021,Perlis,P.002 Kangar,N.06 Bintong,both,overall,noncitizen,0.7
1/1/2021,Perlis,P.002 Kangar,N.06 Bintong,female,overall,overall,14.3
1/1/2021,Perlis,P.002 Kangar,N.06 Bintong,male,overall,overall,13.9
1/1/2022,Perlis,P.002 Kangar,N.06 Bintong,both,overall,overall,28.5
1/1/2022,Perlis,P.002 Kangar,N.06 Bintong,both,overall,citizen,27.8
1/1/2022,Perlis,P.002 Kangar,N.06 Bintong,both,overall,noncitizen,0.7
1/1/2022,Perlis,P.002 Kangar,N.06 Bintong,female,overall,overall,14.5
1/1/2022,Perlis,P.002 Kangar,N.06 Bintong,male,overall,overall,14
1/1/2020,Perlis,P.002 Kangar,N.07 Sena,both,overall,overall,20.321
1/1/2020,Perlis,P.002 Kangar,N.07 Sena,both,overall,citizen,19.682
1/1/2020,Perlis,P.002 Kangar,N.07 Sena,both,overall,noncitizen,0.639
1/1/2020,Perlis,P.002 Kangar,N.07 Sena,female,overall,overall,10.309
1/1/2020,Perlis,P.002 Kangar,N.07 Sena,male,overall,overall,10.012
1/1/2021,Perlis,P.002 Kangar,N.07 Sena,both,overall,overall,20.5
1/1/2021,Perlis,P.002 Kangar,N.07 Sena,both,overall,citizen,19.8
1/1/2021,Perlis,P.002 Kangar,N.07 Sena,both,overall,noncitizen,0.7
1/1/2021,Perlis,P.002 Kangar,N.07 Sena,female,overall,overall,10.4
1/1/2021,Perlis,P.002 Kangar,N.07 Sena,male,overall,overall,10.1
1/1/2022,Perlis,P.002 Kangar,N.07 Sena,both,overall,overall,20.7
1/1/2022,Perlis,P.002 Kangar,N.07 Sena,both,overall,citizen,19.9
1/1/2022,Perlis,P.002 Kangar,N.07 Sena,both,overall,noncitizen,0.8
1/1/2022,Perlis,P.002 Kangar,N.07 Sena,female,overall,overall,10.5
1/1/2022,Perlis,P.002 Kangar,N.07 Sena,male,overall,overall,10.2
