Unnamed: 0,BIL.,NO. LESEN,NAMA PEMEGANG LESEN,ALAMAT PEPASANGAN,KEUPAYAAN SETIAP UNIT PENGECAS,JUMLAH BILANGAN UNIT PENGECAS,DC,AC,KAPASITI PEPASANGAN (KW),TEMPOH SAH LESEN,JUMLAH BAY,DC BAY,AC BAY
422,,LA 12/1/16/549 (D-EVCS),CHARGEHERE EV SOLUTION SDN BHD,"THE KASTURI RESORT CHERATING KM 32.5, JALAN KUANTAN, KEMAMAN CHERATING 26080 PAHANG",22.00KWAC : 2 UNIT,2,0,2,44,4/6/2024 - 3/6/2034,2,0,2
503,,LA 12/1/16/540 (D-EVCS),TESLA SDN BHD,"PL-HADAPAN BANGUNAN TEXAS, MAJLIS BANDARAYA KUANTAN, JLN TANAH PUTIH KUANTAN KUANTAN 25100 PAHANG",250.00KWDC : 1 UNIT,1,1,0,250,24/4/2024 - 23/4/2034,4,4,0
646,,LA 12/1/16/756 (D-EVCS),MACINDA EV SDN.BHD.,"LOT 20 & 21, SECTION 22, JLN TELUK SISEK, KUANTAN 25000 PAHANG",160.00KWDC : 1 UNIT,1,1,0,160,31/7/2024 - 30/7/2034,2,2,0
670,,LA 12/1/16/822 (D-EVCS),CARPUT ZAP NETWORK SDN BHD,"2656~2657, MUKIM BALOK BEACH BESERAH BALOK KUANTAN 26100 PAHANG",60.00KWDC : 1 UNIT,1,1,0,60,7/8/2024 - 6/8/2034,2,2,0
723,,LA 12/1/16/859 (D-EVCS),GENTARI GREEN MOBILITY SDN. BHD.,"PETRONAS KM26 PETRONAS PUMP, LOT 65454 KM26, JALAN GAMBANG, KUALA KUANTAN, 26300 KUANTAN, PAHANG",150.00KWDC : 1 UNIT,1,1,0,150,19/8/2024 - 18/8/2034,2,2,0
940,,LA 12/1/16/1071 (D-EVCS),PS TRAINING & SOLUTIONS SDN BHD,"PAHANG SKILLS DEVELOPMENT CENTRE, KAMPUS PSDC, LOT 150, TAMAN PERINDUSTRIAN SEMAMBU, 25350 KUANTAN, PAHANG",22.00KWAC : 1 UNIT 7.00KWAC : 2 UNIT,3,0,3,36,9/10/2024 - 8/10/2034,3,0,3
947,,LA 12/1/16/1151 (D-EVCS),BLH ECOENERGY SDN BHD,"PL-EAST COAST MALL, GROUND FLOOR, JLN PUTRA SQUARE, 25200 KUANTAN, PAHANG",22.00KWAC : 2 UNIT,2,0,2,44,13/11/2024 - 12/11/2034,2,0,2
948,,LA 12/1/16/1156 (D-EVCS),BLH ECOENERGY SDN BHD,"PL-KUANTAN CITY MALL, GROUND FLOOR, JLN PUTRA SQUARE, KUANTAN KUANTAN 25200 PAHANG",22.00KWAC : 2 UNIT,2,0,2,44,19/11/2024 - 18/11/2034,2,0,2
1015,,LA 12/1/16/1263 (D-EVCS),BLH ECOENERGY SDN BHD,"PL-GERAI BATU HITAM, JLN BERSERAH, KAMPUNG BAHARU, KUANTAN, 26100 KUANTAN, PAHANG",60.00KWDC : 1 UNIT,1,1,0,60,12/12/2024 - 11/12/2034,2,2,0
1150,,LA 12/1/16/1304 (D-EVCS),CARPUT ZAP NETWORK SDN BHD,"AC HOTEL KUANTAN, BASEMENT 1, PARKING LOT NO. 43 & 44, JLN TELUK SISEK, 25000 KUANTAN PAHANG",22.00KWAC : 2 UNIT,2,0,2,44,14/2/2025 - 13/2/2035,2,0,2
1301,,LA 12/1/16/1465 (D-EVCS),HANDAL GREEN MOBILITY SDN. BHD.,"KUANTAN CITYMALL, JALAN PUTRA SQUARE 6/1, KUANTAN KUANTAN 25300 PAHANG",120.00KWDC : 1 UNIT 11.00KWAC : 2 UNIT,3,1,2,142,12/3/2025 - 11/3/2035,4,2,2
1362,,LA 12/1/16/1556 (D-EVCS),GENTARI GREEN MOBILITY SDN. BHD.,"LOT A, ONE SURIA, JALAN SULTAN AHMAD SHAH, BANDAR INDERA MAHKOTA MUKIM KUALA KUANTAN KUANTAN 25200 PAHANG",120.00KWDC : 2 UNIT,2,2,0,240,15/4/2025 - 14/4/2035,4,4,0
1368,,LA 12/1/16/1539 (D-EVCS),HOI KEEN AUTO SPRAY SDN. BHD.,"GROUND FLOOR, LOT 6 KUALA KUANTAN KUANTAN 25200 PAHANG",120.00KWDC : 2 UNIT,2,2,0,240,11/4/2025 - 10/4/2035,2,2,0
1443,,LA 12/1/16/1643 (D-EVCS),LEADING INNOVATIVE TECHNOLOGIES & SYSTEMS SDN BHD,PERBADANAN KEMAJUAN PERTANIAN NEGERI PAHANG KUANTAN KUANTAN 25990 PAHANG,22.00KWAC : 2 UNIT,2,0,2,44,22/5/2025 - 21/5/2035,2,0,2
1605,,LA 12/1/16/1750 (D-EVCS),CARPUT ZAP NETWORK SDN BHD,"LOT 31568, THE ROYALE CHULAN CHERATING, JLN KEMAMAN, CHERATING, 26080 KUANTAN, PAHANG",22.0KWAC : 2 UNIT,2,0,2,44,12/8/2025 - 11/8/2035,2,0,2
1727,,LA 12/1/16/1986 (D-EVCS),GENTARI GREEN MOBILITY SDN. BHD.,"TASEK COMMERCIAL CENTRE, PERSIARAN KOTASAS, KOTA SULTAN AHMAD SHAH, MUKIM KUALA KUANTAN, 25200 KUANTAN, PAHANG",100.0KWDC : 1 UNIT,1,1,0,100,19/9/2025 - 18/9/2035,2,2,0
